0 193 11;
0 195 46;
23231.6 131 74 0;
23231.6 147 76 127;
23414.6 147 71 111;
23414.6 131 76 0;
23414.6 148 71 95;
23414.6 147 74 127;
23414.6 131 72 0;
23414.6 132 72 0;
23414.6 132 62 0;
23414.6 148 60 95;
23597.5 148 72 95;
23597.5 147 72 111;
23597.5 131 71 0;
23597.5 132 71 0;
23780.4 131 72 0;
23780.4 148 59 95;
23780.4 132 60 0;
23780.4 131 74 0;
23780.4 147 69 111;
23780.4 132 72 0;
23780.4 147 72 127;
23780.4 148 69 95;
24146.3 131 69 0;
24146.3 131 72 0;
24146.3 148 60 95;
24146.3 148 72 99;
24146.3 132 59 0;
24146.3 147 64 127;
24146.3 132 69 0;
24146.3 145 60 95;
24146.3 129 62 0;
24146.3 129 50 0;
24146.3 145 48 95;
24146.3 147 72 127;
24329.2 131 64 0;
24329.2 147 65 127;
24512.1 132 60 0;
24512.1 132 72 0;
24512.1 147 71 111;
24512.1 148 59 95;
24512.1 147 67 127;
24512.1 131 65 0;
24512.1 148 71 95;
24512.1 131 72 0;
24695.1 132 71 0;
24695.1 148 72 95;
24695.1 147 69 127;
24695.1 147 72 111;
24695.1 131 71 0;
24695.1 131 67 0;
24878 147 69 111;
24878 148 57 95;
24878 132 72 0;
24878 148 69 95;
24878 131 69 0;
24878 147 71 127;
24878 132 59 0;
24878 131 72 0;
25060.9 147 72 127;
25060.9 131 71 0;
25243.8 148 72 103;
25243.8 148 59 95;
25243.8 132 57 0;
25243.8 132 69 0;
25243.8 129 48 0;
25243.8 131 72 0;
25243.8 145 59 95;
25243.8 147 74 127;
25243.8 147 72 127;
25243.8 129 60 0;
25243.8 145 47 95;
25243.8 131 69 0;
25426.8 147 76 127;
25426.8 131 74 0;
25609.7 148 57 95;
25609.7 148 71 95;
25609.7 131 76 0;
25609.7 132 72 0;
25609.7 131 72 0;
25609.7 147 71 111;
25609.7 147 74 127;
25609.7 132 59 0;
25792.6 148 72 95;
25792.6 147 72 111;
25792.6 132 71 0;
25792.6 131 71 0;
25975.5 131 74 0;
25975.5 147 72 127;
25975.5 147 69 111;
25975.5 132 57 0;
25975.5 132 72 0;
25975.5 148 59 95;
25975.5 131 72 0;
25975.5 148 69 95;
26341.4 132 69 0;
26341.4 145 64 95;
26341.4 129 59 0;
26341.4 148 72 99;
26341.4 147 84 127;
26341.4 145 52 95;
26341.4 131 69 0;
26341.4 131 72 0;
26341.4 148 57 99;
26341.4 132 59 0;
26341.4 147 76 127;
26341.4 148 64 95;
26341.4 147 72 127;
26341.4 129 47 0;
26707.2 147 71 111;
26707.2 132 64 0;
26707.2 132 72 0;
26707.2 132 57 0;
26707.2 148 71 95;
26707.2 147 83 111;
26707.2 131 84 0;
26707.2 131 76 0;
